username,password,role,status
seif,$argon2id$v=19$m=65536|t=3|p=4$TWpENlhITlZRd1RRRndOMA$xLcju5Ivjndie5Xuv1hSCw,admin,inactive
salah,$argon2id$v=19$m=65536|t=3|p=4$bhhWJCXelGB19bD81PTdcQ$qtLJ6bIW8EJVY+nyEyqNmDFHyVAXgMXVjnXkQ9/0tEg,engineer,active
farah,$argon2id$v=19$m=65536|t=3|p=4$akMdQdRYCjt/Ig3zKon4oQ$N/nVth4B8HrtP8okYMhsTAWXoglNYxj5mY0P9MIkJWo,nurse,active
amr,$argon2id$v=19$m=65536|t=3|p=4$8KwLsDR1pQx7iQQgKmYLew$ogJ7SwvAumRDiyjildNESRj7FYavoX1ptufIcBrKM5M,doctor,active
sisi,$argon2id$v=19$m=65536|t=3|p=4$fIVTIIL9RWoHBTkDnHIx8Q$MdVE6VOpugWKscNKFL7Awm96lSH6A8BF8gaI+q9JS6c,admin,active
entisar,$argon2id$v=19$m=65536|t=3|p=4$UVNndGV6U3c3RVdPRnFRSg$Y71Yw275XTWSC0scdQQ4BQ,nurse,active
admin,$argon2id$v=19$m=65536|t=3|p=4$cwuwLLg1U/w3TCC3YSlWqA$MKSbBJ0gyE+jhecPX9IKUWVPqGLVI2fIrQ8spzVPEC8,admin,active
camel,$argon2id$v=19$m=65536|t=3|p=4$qslQ2AsLCi5NRELrMvDd+g$a1FWwFvIfn6W1elvQQZrK9Lf5jllqDkWZo1AA8Owvho,nurse,inactive
sekiro,$argon2id$v=19$m=65536|t=3|p=4$DzQuEtLi2iAv7AN7bBkaCA$gcps77roLAawEL27ZUvpVu24sLfBY2dz3SukAmWlZ8I,engineer,active
jojo1,$argon2id$v=19$m=65536|t=3|p=4$hPbypltLvj4kW3wRTL0nKA$+dSLAiOulDa8a055qE9i/i9FD5TQDhVgCkHEI+rS7sU,doctor,inactive
SS Isshin,$argon2id$v=19$m=65536|t=3|p=4$NHdn4fduBhxTtqnswahodg$Gm2sJNs23s3kCqajc1U2TTMRqtHV6utNmL1q09+fK/Q,admin,active
ahmed,$argon2id$v=19$m=65536|t=3|p=4$Kp/bGxfJqnanr84WxJjxVw$DT5xa1al00dlloV4LXC4GEEp03cL+E4SUJ1cAnnknvQ,doctor,active
